CODIGO;NOMBRE;DESCRIPCION;PRECIO;STOCK;
00169;LEVADURA;;49,00;;
00234;LEVADURE LEVEX;;0,00;;
00150;LOMITO FINAS HIERBAS PIAMONTESA;;177,92;;
00093;LOMO A LAS FINAS HIERBAS L'ABRATTO;;259,82;;
00092;LOMO DE CERDO COCIDO PALADINI;;192,17;;
00110;MALTA EL POCILLO;;21,56;;
00069;MANTECA 100 GRS;;15,60;;
00070;MANTECA 200 GRS;;23,17;;
00071;MANTECA PILON;;100,45;;
00442;MARGARINA X 10KG;;394,80;;
00087;MATAMBRE DE CARNE FELA;;170,26;;
00235;MAYONESA CADA DIA X 125;;0,00;;
00236;MAYONESA CADA DIA X 250;;0,00;;
00218;MAYONESA FANACOA X 2.755GR;;88,12;;
00166;MAYONESA NATURA X 125;;8,68;;
00167;MAYONESA NATURA X 250;;16,21;;
00406;MAYONESA NATURA X 2900;;139,69;;
00216;MAYONESA NATURA X 500;;0,00;;
00128;MEDALLON POLLO ESP Y QUE PALADINI;;27,90;;
00113;MEMBRILLO/BATATA PANADERO;;238,00;;
00124;MERMELADA BAGGIO;;18,01;;
00125;MERMELADA ORIETA;;14,00;;
00200;MILAN 66;;0,00;;
00080;MILAN CRESPON PALADINI;;259,02;;
00081;MILAN FELA;;176,41;;
00079;MILAN PALADINI;;250,87;;
00148;MINI PIEZAS FLIAR 300 GR PIAMONTESA;;30,51;;
00163;MORCILLON DON ALEJANDRO;;39,13;;
00207;MORRON LATA X 780GR;;63,70;;
00147;MORTADELA 808;;63,87;;
00159;MORTADELA BOLOGNA PIAMONTESA;;90,54;;
00423;MORTADELA DON ALEJANDRO;;48,35;;
00082;MORTADELA FELA X 3 KG;;73,00;;
00083;MORTADELA PALADINI 2.500;;135,93;;
00084;MORTADELA PALADINI 4.500;;126,57;;
00085;MORTADELA PALADINI X 300GR;;34,78;;
00109;MORTADELA PIAMONTESA;;99,54;;
00217;MOSTASA SAVORA X 3 KG;;106,55;;
;;;;;
00019;MUZZA BARRA CANTONI;;117,00;;
00025;MUZZARELLA CILINDRO CREMIGAL;;109,19;;
00099;PALETA DE CERDO 131;;79,26;;
00075;PALETA FELA X 6KG;;108,36;;
00074;PALETA PALADINI X 200GR A/V;;31,09;;
00073;PALETA PALADINI X 6KG;;151,43;;
00103;PALETA PIAMONTESA;;94,14;;
00422;PALETA SANDWICHERA DON ALEJANDRO;;50,17;;
00091;PANCETA AHUMADA PALADINI A/V;;272,61;;
00151;PANCETA ARROLLADA PIAMONTESA;;222,10;;
00433;PANCETA COCIDA AHUMADA;;153,49;;
00090;PANCETA SALADA PALADINI A/V;;221,29;;
00098;PATA COCIDA PIAMONTESA;;112,10;;
00129;PATE PALADINI;;0,00;;
00208;PATE/PICADILLO;;0,00;;
00130;PICADILLO PALADINI;;0,00;;
00023;POR SALU SIN SAL CREMIGAL;;115,44;;
00024;POR SALUT CREMIGAL;;115,44;;
00010;POSTRE DULCE DE LECHE X 125;;5,89;;
00009;POSTRE VAINILLA X 125;;5,89;;
00041;PROVOLETA PARRILERA;;206,49;;
00378;QUESO AZUL ILOLAY;;297,35;;
00013;QUESO BARRA CANTONI;;126,00;;
00259;QUESO BRIE;;0,00;;
00088;QUESO CHEDDAR SPALEN;;105,09;;
00377;QUESO CREMA X 4 KG;;501,89;;
00429;QUESO DE CERDO DON A;;70,78;;
00102;QUESO DE CERDO PIAMONTESA;;60,21;;
00017;QUESO FONTINA CANTONI;;140,36;;
00043;QUESO FUNDIDO MIXTO;;105,09;;
00018;QUESO GRUYERE CANTONI;;140,36;;
00039;QUESO HOLANDA;;141,75;;
00026;QUESO HOLANDA CREMIGAL;;160,21;;
00016;QUESO PATEGRAS CANTONI;;143,00;;
00015;QUESO REGGIANITO CANTONI;;197,60;;
00145;QUESO REGIANITO CREMIGAL;;189,95;;
00014;QUESO SARDO CANTONI;;191,10;;
00144;QUESO SARDO CREMIGAL;;189,95;;
00022;QUESO TYBO CREMIGAL;;132,94;;
00034;RALLADITO VIDALAC X 20 UND X 30GR;;150,64;;
00155;RAPIDITAS QUIERO X 8 UNID;;27,73;;
00140;RAVIOLES X 1KG QUIERO!;;52,85;;
00139;RAVIOLES X 500GR QUIERO!;;30,70;;
00050;RICOTA CREMIGAL;;45,96;;
00002;SACHET YOGUR FRUTILLA ENTERO;;18,48;;
00004;SACHET YOGUR FRUTILLA LIGTH;;18,48;;
00003;SACHET YOGUR VAINILLA ENTERO;;18,48;;
00005;SACHET YOGUR VAINILLA LIGHT;;18,48;;
00053;SACHET YOGURT DURAZNO X 1L;;18,48;;
00054;SACHET YOGURT MULTIFR X 1LT;;18,48;;
00197;SAL PARRILLERA X 400;;23,40;;
00105;SALAME BASTON COLONIA PIAMONTESA;;181,17;;
00435;SALAME BASTON CRIOLLO;;193,05;;
00104;SALAME MILAN PIAMONTESA;;188,45;;
00106;SALAMIN CASERO;;150,01;;
;;;;;
00095;SALCHICHA FELA X 12 U;;28,43;;
00094;SALCHICHA FELA X 6 U;;16,60;;
00096;SALCHICHA PALADINI X 6 U;;26,33;;
00126;SALCHICHA PARRILLERA PALADINI;;143,14;;
00097;SALCHICHAS PALADINI X 12 U;;33,72;;
00153;SALCHICHAS PANCHIN;;13,24;;
00425;SALCHICHON C/ JAMON DON ALEJANDRO;;48,35;;
00108;SALCHICHON C/JAMON PIAMONTESA;;74,18;;
00107;SALCHICHON CON VERDURAS PIAMONTESA;;86,69;;
00149;SALCHICHON FLIAR X 300Gr PIAMONTESA;;24,50;;
00424;SALCHICHON PRIMAVERA DON ALEJANDRO;;48,35;;
00076;SALCHICHON TRIPLE PALADINI;;105,67;;
00410;SALSA DE TOMATE X 350;;22,41;;
00409;SALSA DE TOMATE X 950;;44,80;;
00036;SARDO BLANCO;;142,51;;
00027;SARDO/REGGI CREMIGAL;;189,95;;
00001;SERVICIOS;;0,00;;
00134;TAPA EMPANADA CRIOLLA QUIERO;;11,49;;
00137;TAPA EMPANADA QUIERO FREIR;;14,20;;
00136;TAPA EMPANADA QUIERO HORNO;;14,20;;
00135;TAPA PASCUA CRIOLLA OFF X 3;;18,86;;
00138;TAPA PASCUALINA QUIERO;;19,11;;
00437;TOMATE LATA X 8 KG COPETIN;;150,06;;
00412;TOMATE TRITURADO X 350;;16,80;;
00411;TOMATE TRITURADO X 950;;33,60;;
00254;VARIOS;;0,00;;
00006;VASO YOGUR FRUTILLA;;5,20;;
00007;VASO YOGUR VAINILLA;;5,20;;
00346;VIINAGRE;;0,00;;
00438;YOGUR BEBIBLE BOT. X 190Gr;;15,71;;
00008;YOGUR C/ CEREALES X 155;;11,58;;
00439;YOGUR C/ MAIZ ILOLAY X 190Gr;;18,16;;
00052;YOGUR DES FIRME ILOLAY 190 GR;;12,10;;
00142;ÑOQUIS X 500 GR QUIERO!;;20,74;;
